variety,sens,genMean,sens_sig,genMean_sig,both_sig,resp_var
DP 1646 B2XF,1.0155872075955215,1298.0617541528286,NA,  b  ,  b  /NA,LY (kg/ha)
DP 2055 B3XF,0.9671832802010013,1247.8744499014365,NA,  bc ,  bc /NA,LY (kg/ha)
NG 4936 B3XF,0.9834005058851537,1207.29369953785,NA,   c ,   c /NA,LY (kg/ha)
PHY 400 W3FE,0.9115376026486083,1208.2919256197242,NA,    d,    d/NA,LY (kg/ha)
ST 4990 B3XF,0.9559936355199137,1239.0526617133926,NA,  bc ,  bc /NA,LY (kg/ha)
DG 3615 B3XF,1.0901709869161993,1327.878765332926,NA, a   , a   /NA,LY (kg/ha)
DG 3799 B3XF,1.1261596170278843,1378.5774216177883,NA, a   , a   /NA,LY (kg/ha)
ST 5091 B3XF,1.1259397134681646,1393.1395025028362,NA,  b  ,  b  /NA,LY (kg/ha)
PHY 545 W3FE,0.8274647499528419,1267.164524440057,NA,    d,    d/NA,LY (kg/ha)
NG 3195 B3XF,0.9205129760032208,1351.729351421996,NA,  bc ,  bc /NA,LY (kg/ha)
AR 9831 B3XF,1.0409630765397353,1363.8603175198764,NA,  bc ,  bc /NA,LY (kg/ha)
DP 1646 B2XF,0.948561535070926,38.77362804208129,NA,  bc  ,  bc  /NA,GTO (%)
DP 2055 B3XF,0.9065338413805155,38.76162234943292,NA,  bc  ,  bc  /NA,GTO (%)
NG 4936 B3XF,0.9854859441916826,37.002503815737484,NA,     e,     e/NA,GTO (%)
PHY 400 W3FE,0.9444880096667697,38.54758088544832,NA,   cd ,   cd /NA,GTO (%)
ST 4990 B3XF,0.9971108613841706,36.99358651903447,NA,     e,     e/NA,GTO (%)
DG 3615 B3XF,0.9538529402558,39.206114012347065,NA, a    , a    /NA,GTO (%)
DG 3799 B3XF,1.0546478095159317,39.05627374455121,NA, ab   , ab   /NA,GTO (%)
ST 5091 B3XF,1.0328328261650404,39.4114767515359,NA,    d ,    d /NA,GTO (%)
PHY 545 W3FE,1.1065290448619283,39.7972594584263,NA,   cd ,   cd /NA,GTO (%)
