variety,Location,Irrigation,Year,fittedValue,envMean,sens,intercept_sig,sens_sig,both_sig
DP 1646 B2XF,Tift,dryland,2020,1282.3145018544403,1283.5257878853904,1.0155872075955217,  b  , abcd ,b/abcd
DP 2055 B3XF,Tift,dryland,2020,1278.1217584867761,1283.5257878853904,0.9671832802010015,  bc ,   cde,bc/cde
NG 4936 B3XF,Tift,dryland,2020,1238.0481792454661,1283.5257878853904,0.9834005058851539,   c ,  bcd ,c/bcd
PHY 400 W3FE,Tift,dryland,2020,1194.158021114999,1283.5257878853904,0.9115376026486085,    d,    de,d/de
ST 4990 B3XF,Tift,dryland,2020,1268.950029762582,1283.5257878853904,0.9559936355199139,  bc ,   cde,bc/cde
DG 3615 B3XF,Tift,dryland,2020,1361.9723429691996,1283.5257878853904,1.0901709869161995, a   , abc  ,a/abc
DG 3799 B3XF,Tift,dryland,2020,1361.1156817642698,1283.5257878853904,1.1261596170278845, a   , a    ,a/a
DP 1646 B2XF,Sumter,irrigated,2020,1286.942640399509,1288.1154660070458,1.0155872075955217,  b  , abcd ,b/abcd
DP 2055 B3XF,Sumter,irrigated,2020,1282.5293152044726,1288.1154660070458,0.9671832802010015,  bc ,   cde,bc/cde
NG 4936 B3XF,Sumter,irrigated,2020,1242.5296395794367,1288.1154660070458,0.9834005058851539,   c ,  bcd ,c/bcd
PHY 400 W3FE,Sumter,irrigated,2020,1198.3119945823153,1288.1154660070458,0.9115376026486085,    d,    de,d/de
ST 4990 B3XF,Sumter,irrigated,2020,1273.3065940834988,1288.1154660070458,0.9559936355199139,  bc ,   cde,bc/cde
DG 3615 B3XF,Sumter,irrigated,2020,1366.9403677016182,1288.1154660070458,1.0901709869161995, a   , abc  ,a/abc
DG 3799 B3XF,Sumter,irrigated,2020,1366.24771049847,1288.1154660070458,1.1261596170278845, a   , a    ,a/a
DP 1646 B2XF,Pulaski,irrigated,2020,1331.6533936916162,1332.454667219197,1.0155872075955217,  b  , abcd ,b/abcd
DP 2055 B3XF,Pulaski,irrigated,2020,1325.1091081615937,1332.454667219197,0.9671832802010015,  bc ,   cde,bc/cde
NG 4936 B3XF,Pulaski,irrigated,2020,1285.823388335945,1332.454667219197,0.9834005058851539,   c ,  bcd ,c/bcd
PHY 400 W3FE,Pulaski,irrigated,2020,1238.4420125302495,1332.454667219197,0.9115376026486085,    d,    de,d/de
ST 4990 B3XF,Pulaski,irrigated,2020,1315.3937681507591,1332.454667219197,0.9559936355199139,  bc ,   cde,bc/cde
DG 3615 B3XF,Pulaski,irrigated,2020,1414.934637103282,1332.454667219197,1.0901709869161995, a   , abc  ,a/abc
DG 3799 B3XF,Pulaski,irrigated,2020,1415.8263625609338,1332.454667219197,1.1261596170278845, a   , a    ,a/a
DP 1646 B2XF,Macon,dryland,2020,988.6307352558206,992.2825709598235,1.0155872075955217,  b  , abcd ,b/abcd
DP 2055 B3XF,Macon,dryland,2020,998.4352612600749,992.2825709598235,0.9671832802010015,  bc ,   cde,bc/cde
NG 4936 B3XF,Macon,dryland,2020,953.6720444503892,992.2825709598235,0.9834005058851539,   c ,  bcd ,c/bcd
PHY 400 W3FE,Macon,dryland,2020,930.5629358874803,992.2825709598235,0.9115376026486085,    d,    de,d/de
ST 4990 B3XF,Macon,dryland,2020,992.4993127547183,992.2825709598235,0.9559936355199139,  bc ,   cde,bc/cde
DG 3615 B3XF,Macon,dryland,2020,1046.720713882516,992.2825709598235,1.0901709869161995, a   , abc  ,a/abc
DG 3799 B3XF,Macon,dryland,2020,1035.4569932277655,992.2825709598235,1.1261596170278845, a   , a    ,a/a
DP 1646 B2XF,JeffDavis,irrigated,2020,1550.2910156894404,1549.275382606677,1.0155872075955217,  b  , abcd ,b/abcd
DP 2055 B3XF,JeffDavis,irrigated,2020,1533.3262369691295,1549.275382606677,0.9671832802010015,  bc ,   cde,bc/cde
NG 4936 B3XF,JeffDavis,irrigated,2020,1497.5317935523083,1549.275382606677,0.9834005058851539,   c ,  bcd ,c/bcd
PHY 400 W3FE,JeffDavis,irrigated,2020,1434.6796298556376,1549.275382606677,0.9115376026486085,    d,    de,d/de
ST 4990 B3XF,JeffDavis,irrigated,2020,1521.2019681279821,1549.275382606677,0.9559936355199139,  bc ,   cde,bc/cde
DG 3615 B3XF,JeffDavis,irrigated,2020,1649.628802574996,1549.275382606677,1.0901709869161995, a   , abc  ,a/abc
DG 3799 B3XF,JeffDavis,irrigated,2020,1658.2682314772462,1549.275382606677,1.1261596170278845, a   , a    ,a/a
DP 1646 B2XF,Brooks,dryland,2020,1283.2508328867111,1284.454337886993,1.0155872075955217,  b  , abcd ,b/abcd
DP 2055 B3XF,Brooks,dryland,2020,1279.0134630222142,1284.454337886993,0.9671832802010015,  bc ,   cde,bc/cde
NG 4936 B3XF,Brooks,dryland,2020,1238.9548354182937,1284.454337886993,0.9834005058851539,   c ,  bcd ,c/bcd
PHY 400 W3FE,Brooks,dryland,2020,1194.9984225478433,1284.454337886993,0.9115376026486085,    d,    de,d/de
ST 4990 B3XF,Brooks,dryland,2020,1269.8314178904516,1284.454337886993,0.9559936355199139,  bc ,   cde,bc/cde
DG 3615 B3XF,Brooks,dryland,2020,1362.9774372810389,1284.454337886993,1.0901709869161995, a   , abc  ,a/abc
DG 3799 B3XF,Brooks,dryland,2020,1362.1539561623983,1284.454337886993,1.1261596170278845, a   , a    ,a/a
