year,irrigation,site,trial,variety,resp_var,resp_val
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,lintyield_kgha,1287.7573417910232
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,gto,39.28786964393482
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,mic,4.1
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,strength_gtex,31.6
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,rd,67.7
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,b,9.1
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,length_mm,29.971999999999998
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,uniformity,83.1
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,q_score,31.635999999999996
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,lintyield_kgha,1306.334130731244
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,gto,41.145281018027575
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,mic,5
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,strength_gtex,30.5
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,rd,75.2
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,b,8.2
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,length_mm,27.94
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,uniformity,81
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,q_score,30.42
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,lintyield_kgha,1251.297878002968
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,gto,36.73163418290855
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,mic,4.8
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,strength_gtex,31
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,rd,74.8
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,b,8.3
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,length_mm,29.971999999999998
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,uniformity,82.5
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,q_score,31.660999999999998
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 5711 B3XF,lintyield_kgha,1344.0124675321936
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 5711 B3XF,gto,39.572953736654796
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 5711 B3XF,mic,5
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 5711 B3XF,strength_gtex,29.7
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 5711 B3XF,rd,73.9
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 5711 B3XF,b,8.5
