year,irrigation,site,trial,variety,resp_var,resp_val
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,lintyield_kgha,1148.757664
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,gto,39.28786964
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,mic,4.1
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,strength_gtex,31.6
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,rd,67.7
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,b,9.1
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,length_mm,29.972
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,uniformity,83.1
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,Q_score,86.04349318
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,lintyield_kgha,1165.329287
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,gto,41.14528102
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,mic,5
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,strength_gtex,30.5
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,rd,75.2
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,b,8.2
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,length_mm,27.94
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,uniformity,81
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,Q_score,25.10165267
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,lintyield_kgha,1116.233611
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,gto,36.73163418
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,mic,4.8
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,strength_gtex,31
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,rd,74.8
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,b,8.3
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,length_mm,29.972
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,uniformity,82.5
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,Q_score,75.24093429
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 5711 B3XF,lintyield_kgha,1198.940649
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 5711 B3XF,gto,39.57295374
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 5711 B3XF,mic,5
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 5711 B3XF,strength_gtex,29.7
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 5711 B3XF,rd,73.9
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 5711 B3XF,b,8.5
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 5711 B3XF,length_mm,28.956
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 5711 B3XF,uniformity,81.4
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 5711 B3XF,Q_score,44.54604195
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 4936 B3XF,lintyield_kgha,1094.086733
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 4936 B3XF,gto,37.94068271
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 4936 B3XF,mic,4.9
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 4936 B3XF,strength_gtex,29.6
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 4936 B3XF,rd,73.1
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 4936 B3XF,b,8.5
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 4936 B3XF,length_mm,28.956
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 4936 B3XF,uniformity,83.2
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 4936 B3XF,Q_score,56.66648401
2020,Dryland,Tift_2020,Tift_dryland_2020,PHY 400 W3FE,lintyield_kgha,1020.814747
2020,Dryland,Tift_2020,Tift_dryland_2020,PHY 400 W3FE,gto,38.68766404
2020,Dryland,Tift_2020,Tift_dryland_2020,PHY 400 W3FE,mic,4.6
2020,Dryland,Tift_2020,Tift_dryland_2020,PHY 400 W3FE,strength_gtex,32
2020,Dryland,Tift_2020,Tift_dryland_2020,PHY 400 W3FE,rd,73.1
2020,Dryland,Tift_2020,Tift_dryland_2020,PHY 400 W3FE,b,8.4
2020,Dryland,Tift_2020,Tift_dryland_2020,PHY 400 W3FE,length_mm,28.702
2020,Dryland,Tift_2020,Tift_dryland_2020,PHY 400 W3FE,uniformity,81.9
2020,Dryland,Tift_2020,Tift_dryland_2020,PHY 400 W3FE,Q_score,58.60239736
2020,Dryland,Tift_2020,Tift_dryland_2020,PHY 545 W3FE,lintyield_kgha,1278.054009
2020,Dryland,Tift_2020,Tift_dryland_2020,PHY 545 W3FE,gto,41.187926
2020,Dryland,Tift_2020,Tift_dryland_2020,PHY 545 W3FE,mic,4.8
2020,Dryland,Tift_2020,Tift_dryland_2020,PHY 545 W3FE,strength_gtex,30.6
2020,Dryland,Tift_2020,Tift_dryland_2020,PHY 545 W3FE,rd,74.3
2020,Dryland,Tift_2020,Tift_dryland_2020,PHY 545 W3FE,b,8.2
2020,Dryland,Tift_2020,Tift_dryland_2020,PHY 545 W3FE,length_mm,27.94
2020,Dryland,Tift_2020,Tift_dryland_2020,PHY 545 W3FE,uniformity,83.3
2020,Dryland,Tift_2020,Tift_dryland_2020,PHY 545 W3FE,Q_score,43.51926253
2020,Dryland,Tift_2020,Tift_dryland_2020,ST 4990 B3XF,lintyield_kgha,1182.170144
2020,Dryland,Tift_2020,Tift_dryland_2020,ST 4990 B3XF,gto,37.10594315
2020,Dryland,Tift_2020,Tift_dryland_2020,ST 4990 B3XF,mic,4.9
2020,Dryland,Tift_2020,Tift_dryland_2020,ST 4990 B3XF,strength_gtex,30.5
2020,Dryland,Tift_2020,Tift_dryland_2020,ST 4990 B3XF,rd,74.2
2020,Dryland,Tift_2020,Tift_dryland_2020,ST 4990 B3XF,b,7.8
2020,Dryland,Tift_2020,Tift_dryland_2020,ST 4990 B3XF,length_mm,29.972
2020,Dryland,Tift_2020,Tift_dryland_2020,ST 4990 B3XF,uniformity,83.2
2020,Dryland,Tift_2020,Tift_dryland_2020,ST 4990 B3XF,Q_score,74.31909659
2020,Dryland,Tift_2020,Tift_dryland_2020,ST 5471 GLTP,lintyield_kgha,1110.23172
2020,Dryland,Tift_2020,Tift_dryland_2020,ST 5471 GLTP,gto,37.67546322
2020,Dryland,Tift_2020,Tift_dryland_2020,ST 5471 GLTP,mic,4.6
2020,Dryland,Tift_2020,Tift_dryland_2020,ST 5471 GLTP,strength_gtex,31
2020,Dryland,Tift_2020,Tift_dryland_2020,ST 5471 GLTP,rd,75.7
2020,Dryland,Tift_2020,Tift_dryland_2020,ST 5471 GLTP,b,7.3
2020,Dryland,Tift_2020,Tift_dryland_2020,ST 5471 GLTP,length_mm,28.956
2020,Dryland,Tift_2020,Tift_dryland_2020,ST 5471 GLTP,uniformity,81.7
2020,Dryland,Tift_2020,Tift_dryland_2020,ST 5471 GLTP,Q_score,62.11966216
2020,Dryland,Tift_2020,Tift_dryland_2020,CP 9608 B3XF,lintyield_kgha,1043.342056
2020,Dryland,Tift_2020,Tift_dryland_2020,CP 9608 B3XF,gto,41.07442641
2020,Dryland,Tift_2020,Tift_dryland_2020,CP 9608 B3XF,mic,4.7
2020,Dryland,Tift_2020,Tift_dryland_2020,CP 9608 B3XF,strength_gtex,28.9
2020,Dryland,Tift_2020,Tift_dryland_2020,CP 9608 B3XF,rd,73.3
2020,Dryland,Tift_2020,Tift_dryland_2020,CP 9608 B3XF,b,7.9
2020,Dryland,Tift_2020,Tift_dryland_2020,CP 9608 B3XF,length_mm,28.448
2020,Dryland,Tift_2020,Tift_dryland_2020,CP 9608 B3XF,uniformity,81.3
2020,Dryland,Tift_2020,Tift_dryland_2020,CP 9608 B3XF,Q_score,47.44413225
2020,Dryland,Tift_2020,Tift_dryland_2020,DG 3615 B3XF,lintyield_kgha,1121.145538
2020,Dryland,Tift_2020,Tift_dryland_2020,DG 3615 B3XF,gto,38.35616438
2020,Dryland,Tift_2020,Tift_dryland_2020,DG 3615 B3XF,mic,4.6
2020,Dryland,Tift_2020,Tift_dryland_2020,DG 3615 B3XF,strength_gtex,32.3
2020,Dryland,Tift_2020,Tift_dryland_2020,DG 3615 B3XF,rd,75.8
2020,Dryland,Tift_2020,Tift_dryland_2020,DG 3615 B3XF,b,8.8
2020,Dryland,Tift_2020,Tift_dryland_2020,DG 3615 B3XF,length_mm,29.464
2020,Dryland,Tift_2020,Tift_dryland_2020,DG 3615 B3XF,uniformity,82.3
2020,Dryland,Tift_2020,Tift_dryland_2020,DG 3615 B3XF,Q_score,73.6336335
2020,Dryland,Tift_2020,Tift_dryland_2020,DG 3799 B3XF,lintyield_kgha,1317.064262
2020,Dryland,Tift_2020,Tift_dryland_2020,DG 3799 B3XF,gto,40.51510649
2020,Dryland,Tift_2020,Tift_dryland_2020,DG 3799 B3XF,mic,4.5
2020,Dryland,Tift_2020,Tift_dryland_2020,DG 3799 B3XF,strength_gtex,32.5
2020,Dryland,Tift_2020,Tift_dryland_2020,DG 3799 B3XF,rd,76.5
2020,Dryland,Tift_2020,Tift_dryland_2020,DG 3799 B3XF,b,8.7
2020,Dryland,Tift_2020,Tift_dryland_2020,DG 3799 B3XF,length_mm,28.956
2020,Dryland,Tift_2020,Tift_dryland_2020,DG 3799 B3XF,uniformity,81.6
2020,Dryland,Tift_2020,Tift_dryland_2020,DG 3799 B3XF,Q_score,61.67171799
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 1646 B2XF,lintyield_kgha,1157.788054
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 1646 B2XF,gto,37.09677419
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 1646 B2XF,mic,4.6
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 1646 B2XF,strength_gtex,27.6
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 1646 B2XF,rd,75.4
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 1646 B2XF,b,9
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 1646 B2XF,length_mm,29.21
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 1646 B2XF,uniformity,80.9
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 1646 B2XF,Q_score,69.83949348
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 2038 B3XF,lintyield_kgha,1219.910361
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 2038 B3XF,gto,39.55637708
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 2038 B3XF,mic,4.6
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 2038 B3XF,strength_gtex,27.2
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 2038 B3XF,rd,77.4
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 2038 B3XF,b,8.7
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 2038 B3XF,length_mm,27.432
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 2038 B3XF,uniformity,80.5
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 2038 B3XF,Q_score,39.24357655
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 2055 B3XF,lintyield_kgha,1112.947451
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 2055 B3XF,gto,34.0862423
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 2055 B3XF,mic,4.4
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 2055 B3XF,strength_gtex,30
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 2055 B3XF,rd,77.7
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 2055 B3XF,b,8.7
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 2055 B3XF,length_mm,29.972
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 2055 B3XF,uniformity,81.4
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,DP 2055 B3XF,Q_score,82.31894781
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,NG 5711 B3XF,lintyield_kgha,1147.833904
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,NG 5711 B3XF,gto,38.07266983
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,NG 5711 B3XF,mic,3.9
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,NG 5711 B3XF,strength_gtex,28.9
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,NG 5711 B3XF,rd,77.3
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,NG 5711 B3XF,b,8.5
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,NG 5711 B3XF,length_mm,29.21
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,NG 5711 B3XF,uniformity,80.5
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,NG 5711 B3XF,Q_score,66.4176548
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,NG 4936 B3XF,lintyield_kgha,1044.897021
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,NG 4936 B3XF,gto,32.71889401
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,NG 4936 B3XF,mic,4.4
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,NG 4936 B3XF,strength_gtex,28.3
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,NG 4936 B3XF,rd,76.4
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,NG 4936 B3XF,b,8.1
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,NG 4936 B3XF,length_mm,28.956
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,NG 4936 B3XF,uniformity,82
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,NG 4936 B3XF,Q_score,68.158355
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,PHY 400 W3FE,lintyield_kgha,1065.229211
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,PHY 400 W3FE,gto,35.46617916
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,PHY 400 W3FE,mic,3.3
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,PHY 400 W3FE,strength_gtex,29.2
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,PHY 400 W3FE,rd,78.7
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,PHY 400 W3FE,b,8.6
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,PHY 400 W3FE,length_mm,28.702
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,PHY 400 W3FE,uniformity,80.8
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,PHY 400 W3FE,Q_score,34.33735839
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,PHY 545 W3FE,lintyield_kgha,1219.082622
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,PHY 545 W3FE,gto,39.46540881
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,PHY 545 W3FE,mic,4.4
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,PHY 545 W3FE,strength_gtex,29.5
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,PHY 545 W3FE,rd,75.8
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,PHY 545 W3FE,b,9
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,PHY 545 W3FE,length_mm,27.94
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,PHY 545 W3FE,uniformity,81.9
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,PHY 545 W3FE,Q_score,51.2595445
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,ST 4990 B3XF,lintyield_kgha,1111.389007
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,ST 4990 B3XF,gto,33.92592593
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,ST 4990 B3XF,mic,4.3
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,ST 4990 B3XF,strength_gtex,29.6
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,ST 4990 B3XF,rd,77.5
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,ST 4990 B3XF,b,7.7
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,ST 4990 B3XF,length_mm,30.226
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,ST 4990 B3XF,uniformity,84
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,ST 4990 B3XF,Q_score,93.97845478
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,ST 5471 GLTP,lintyield_kgha,1021.490139
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,ST 5471 GLTP,gto,31.03448276
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,ST 5471 GLTP,mic,4.1
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,ST 5471 GLTP,strength_gtex,28.7
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,ST 5471 GLTP,rd,78.1
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,ST 5471 GLTP,b,8.4
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,ST 5471 GLTP,length_mm,28.448
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,ST 5471 GLTP,uniformity,81.3
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,ST 5471 GLTP,Q_score,57.16631904
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,CP 9608 B3XF,lintyield_kgha,1063.679286
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,CP 9608 B3XF,gto,37.29216152
2020,Irrigated,Sumter_2020,Sumter_irrigated_2020,CP 9608 B3XF,mic,4.1
