year,irrigation,site,trial,variety,resp_var,resp_val
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,lintyield_lbac,1148.912167
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,lintyield_kgha,1287.757342
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,gto,39.28786964
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,mic,4.1
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,strength_gtex,31.6
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,rd,67.7
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,b,9.1
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,length_in,1.18
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,length_mm,29.972
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,uniformity,83.1
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 1646 B2XF,Q_score,86.04349318
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,lintyield_lbac,1165.486018
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,lintyield_kgha,1306.334131
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,gto,41.14528102
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,mic,5
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,strength_gtex,30.5
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,rd,75.2
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,b,8.2
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,length_in,1.1
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,length_mm,27.94
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,uniformity,81
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2038 B3XF,Q_score,25.10165267
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,lintyield_lbac,1116.383739
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,lintyield_kgha,1251.297878
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,gto,36.73163418
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,mic,4.8
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,strength_gtex,31
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,rd,74.8
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,b,8.3
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,length_in,1.18
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,length_mm,29.972
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,uniformity,82.5
2020,Dryland,Tift_2020,Tift_dryland_2020,DP 2055 B3XF,Q_score,75.24093429
2020,Dryland,Tift_2020,Tift_dryland_2020,NG 5711 B3XF,lintyield_lbac,1199.101901
