county,year,irrigation,variable,stage,value
Tift,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Emergence,163.0405039
Tift,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Vegetative,665.6526247
Tift,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Squaring,454.9370224
Tift,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Flowering,441.034477
Tift,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Cut-Out,526.1932678
Tift,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Opening Bolls,635.2263528
Tift,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Total Growing Season,2886.084249
Tift,2020,dryland,Accumulated-Days Degree,Emergence,85.383
Tift,2020,dryland,Accumulated-Days Degree,Vegetative,573.413
Tift,2020,dryland,Accumulated-Days Degree,Squaring,450.714
Tift,2020,dryland,Accumulated-Days Degree,Flowering,435.919
Tift,2020,dryland,Accumulated-Days Degree,Cut-Out,635.474
Tift,2020,dryland,Accumulated-Days Degree,Opening Bolls,591.577
Tift,2020,dryland,Accumulated-Days Degree,Total Growing Season,2772.48
Tift,2020,dryland,Accumulated-Precipitation (mm),Emergence,3.07
Tift,2020,dryland,Accumulated-Precipitation (mm),Vegetative,170.36
Tift,2020,dryland,Accumulated-Precipitation (mm),Squaring,64.72
Tift,2020,dryland,Accumulated-Precipitation (mm),Flowering,42.48
Tift,2020,dryland,Accumulated-Precipitation (mm),Cut-Out,156.52
Tift,2020,dryland,Accumulated-Precipitation (mm),Opening Bolls,168.53
Tift,2020,dryland,Accumulated-Precipitation (mm),Total Growing Season,605.68
Tift,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Emergence,13.06142857
Tift,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Vegetative,19.43111111
Tift,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Squaring,22.02291667
Tift,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Flowering,22.17
Tift,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Cut-Out,22.01735294
Tift,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Opening Bolls,17.01369565
Tift,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Total Growing Season,19.76841176
Tift,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Emergence,29.25571429
Tift,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Vegetative,30.31888889
Tift,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Squaring,32.87916667
Tift,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Flowering,34.04
Tift,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Cut-Out,32.31705882
Tift,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Opening Bolls,27.52282609
Tift,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Total Growing Season,30.78305882
Tift,2020,dryland,Mean-Vapor Pressure (Pa),Emergence,1527.83
Tift,2020,dryland,Mean-Vapor Pressure (Pa),Vegetative,2270.064722
Tift,2020,dryland,Mean-Vapor Pressure (Pa),Squaring,2649.6125
Tift,2020,dryland,Mean-Vapor Pressure (Pa),Flowering,2671.579565
Tift,2020,dryland,Mean-Vapor Pressure (Pa),Cut-Out,2648.837941
Tift,2020,dryland,Mean-Vapor Pressure (Pa),Opening Bolls,1984.688913
Tift,2020,dryland,Mean-Vapor Pressure (Pa),Total Growing Season,2345.943235
Sumter,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Emergence,119.5246682
Sumter,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Vegetative,679.215735
Sumter,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Squaring,453.8334246
Sumter,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Flowering,445.8189331
Sumter,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Cut-Out,555.1908802
Sumter,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Opening Bolls,684.9230055
Sumter,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Total Growing Season,2938.506647
Sumter,2020,irrigated,Accumulated-Days Degree,Emergence,79.614
Sumter,2020,irrigated,Accumulated-Days Degree,Vegetative,571.403
Sumter,2020,irrigated,Accumulated-Days Degree,Squaring,444.972
Sumter,2020,irrigated,Accumulated-Days Degree,Flowering,455.619
Sumter,2020,irrigated,Accumulated-Days Degree,Cut-Out,627.419
Sumter,2020,irrigated,Accumulated-Days Degree,Opening Bolls,569.125
Sumter,2020,irrigated,Accumulated-Days Degree,Total Growing Season,2748.152
Sumter,2020,irrigated,Accumulated-Precipitation (mm),Emergence,14.42
Sumter,2020,irrigated,Accumulated-Precipitation (mm),Vegetative,172.1
Sumter,2020,irrigated,Accumulated-Precipitation (mm),Squaring,182.88
Sumter,2020,irrigated,Accumulated-Precipitation (mm),Flowering,178.99
Sumter,2020,irrigated,Accumulated-Precipitation (mm),Cut-Out,141.56
Sumter,2020,irrigated,Accumulated-Precipitation (mm),Opening Bolls,335.98
Sumter,2020,irrigated,Accumulated-Precipitation (mm),Total Growing Season,1025.93
Sumter,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Emergence,15.715
Sumter,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Vegetative,19.37611111
Sumter,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Squaring,21.75
Sumter,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Flowering,22.20458333
Sumter,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Cut-Out,21.68647059
Sumter,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Opening Bolls,15.03192308
Sumter,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Total Growing Season,19.12352273
Sumter,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Emergence,29.42166667
Sumter,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Vegetative,30.36722222
Sumter,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Squaring,32.74416667
